[      72ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=8b30a122:14337
[   13987ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   15586ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/dashboard/kpis:0
[   15586ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   15627ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/routes:0
[   15628ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   15635ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   15635ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   15638ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   15638ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   15647ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/stations:0
[   15647ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   15750ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   15750ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   16544ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   16544ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   16595ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/dashboard/kpis:0
[   16596ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   16634ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/routes:0
[   16635ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   16652ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/stations:0
[   16653ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   16757ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   16757ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   17465ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/stations:0
[   17465ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   17508ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/routes:0
[   17509ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   17602ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/dashboard/kpis:0
[   17602ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   17678ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   17679ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   18184ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   18185ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   19081ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/stations:0
[   19082ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   19149ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/routes:0
[   19149ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   19188ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   19188ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   19209ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/dashboard/kpis:0
[   19210ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   19368ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
